DOI,Year,Title,Journal
10.1016/B978-1-78242-102-3.09991-3,2015,Index,Machine-to-machine (M2M) Communications
10.1111/pirs.12075,2015,Capitalization of fiscal variables persists over time,Papers in Regional Science
10.1017/S1041610214001197,2015,Serum cholesterol and cognitive functions: the Lothian Birth Cohort 1936,International Psychogeriatrics
10.1016/B978-0-444-53802-4.00062-2,2015,3.04: Superconducting Gravimetry,Treatise on Geophysics
10.1016/B978-0-444-53766-9.00011-2,2015,Chapter 11: Evolutionary Game Theory in Biology,Handbook of Game Theory with Economic Applications
10.1016/B978-1-78242-380-5.00003-0,2015,3: Pavements made of concrete with high solar reflectance,Eco-Efficient Materials for Mitigating Building Cooling Needs
10.1016/B978-0-323-26509-6.00007-3,2015,7: Refugee Migration and Settlement Amid Climate change: A Prescription for violence?,"Crime, Violence, and Global Warming"
10.1016/B978-0-12-409547-2.11013-3,2015,Hydraulic Fracturing,"Reference Module in Chemistry, Molecular Sciences and Chemical Engineering"
10.1016/B978-1-78242-074-3.00026-X,2015,26: Laser-assisted fabrication of tissue engineering scaffolds from titanium alloys,Laser Surface Engineering
10.1016/B978-0-08-097086-8.64044-8,2015,Social Resilience in Post-Tsunami Japan,International Encyclopedia of the Social & Behavioral Sciences
10.1016/B978-0-12-801413-4.00004-0,2015,Chapter 4: Data Center Facilities,Cloud Data Centers and Cost Modeling
10.1016/B978-0-12-800782-2.00001-4,2015,Chapter 1: Introduction to Power Quality,Power Quality in Power Systems and Electrical Machines
10.1016/B978-1-78242-212-9.00006-X,2015,6: Process engineering and design for spent nuclear fuel reprocessing and recycling plants,Reprocessing and Recycling of Spent Nuclear Fuel
10.1016/S0378-7788(15)00224-8,2015,Editorial Board,Energy and Buildings
10.1016/B978-0-12-801060-0.00018-6,2015,Chapter 18: Breakwater Damage and the Effect of Breakwaters on Mitigation of Inundation Extent During Tsunamis: Case Study of The 2011 Great East Japan Earthquake and Tsunami,Handbook of Coastal Disaster Mitigation for Engineers and Planners
10.5038/2375-0901.18.1.5,2015,A Cautionary Tale of Two Streetcars: Little Rock’s River Rail and Tampa’s TECO Line,Journal of Public Transportation
10.1016/B978-0-12-801060-0.00008-3,2015,"Chapter 8: Storm Surge Due to 2013 Typhoon Yolanda (Haiyan) in Leyte Gulf, the Philippines",Handbook of Coastal Disaster Mitigation for Engineers and Planners
10.1016/B978-0-12-417203-6.00004-1,2015,Chapter 4: Heat Pump Systems,"Exergy Analysis of Heating, Refrigerating and Air Conditioning"
10.1016/B978-0-12-409548-9.09421-5,2015,Synoptic Climatology: An Overview,Reference Module in Earth Systems and Environmental Sciences
10.1016/S0378-7788(15)00427-2,2015,Editorial Board,Energy and Buildings
10.1016/B978-1-78242-119-1.00002-3,2015,2: Power line communications and hybrid systems for home networks,Ecological Design of Smart Home Networks
10.1016/B978-0-08-096811-7.50020-2,2015,T,Dictionary of Energy
10.1016/B978-1-78242-454-3.00008-1,2015,8: Cross laminated timber,Wood Composites
10.1016/B978-0-12-802314-3.00005-6,2015,"Chapter 5: Climate Change, Science and Technology, and Economics Are the Forces Behind the GIR",The Green Industrial Revolution
10.1186/s40413-015-0073-0,2015,"Meteorological conditions, climate change, new emerging factors, and asthma and related allergic disorders. A statement of the World Allergy Organization",World Allergy Organization Journal
10.1016/S0378-7788(15)00289-3,2015,Editorial Board,Energy and Buildings
10.1007/s12205-014-0741-6,2015,Three dimensional numerical analysis of the effects of tunnelling near piled structures,KSCE Journal of Civil Engineering
10.1016/B978-0-12-409548-9.09177-6,2015,Atmospheric Chemistry,Reference Module in Earth Systems and Environmental Sciences
10.1016/B978-1-78242-211-2.00012-X,2015,12: Simulative performance evaluation of vehicular networks,Vehicular Communications and Networks
10.1016/S1878-0296(15)00480-6,2015,Contents,Procedia Environmental Sciences
10.1016/B978-0-08-100387-9.00002-6,2015,2: Chinese-style development in Xinjiang: Narrative,China's Spatial (Dis)integration
10.1016/B978-0-12-410461-7.00007-9,2015,Chapter 7: Gas Turbine Fuel Systems and Fuels,Gas Turbines
10.1016/B978-0-444-53802-4.00087-7,2015,4.20: Physical Processes That Control Strong Ground Motion,Treatise on Geophysics
10.1016/B978-1-78242-305-8.00019-X,2015,19: Topology optimization for the development of eco-efficient masonry units,Eco-Efficient Masonry Bricks and Blocks
10.1074/jbc.M115.689604,2015,Assembly and Molecular Architecture of the Phosphoinositide 3-Kinase p85α Homodimer,Journal of Biological Chemistry
10.1016/B978-0-12-410461-7.00004-3,2015,Chapter 4: Gas Turbine Major Components and Modules,Gas Turbines
10.5094/APR.2015.095,2015,on–road measurement of gaseous emissions and fuel consumption for two hybrid electric vehicles in Macao,Atmospheric Pollution Research
10.3168/jds.2014-8442,2015,Immediate and residual effects of heat stress and restricted intake on milk protein and casein composition and energy metabolism,Journal of Dairy Science
10.1016/B978-0-444-63369-9.00012-4,2015,Chapter 12: The Impact of Glacial Geomorphology on Critical Zone Processes,Developments in Earth Surface Processes
10.1016/B978-0-12-409548-9.10195-2,2017,Indoor Environmental Quality: Thermal Comfort,Encyclopedia of Sustainable Technologies
10.1016/B978-0-12-802397-6.00007-5,2016,Chapter 7: Parametric Analysis of Thermal Comfort and Energy Efficiency in Building in Subtropical Climate,Thermofluid Modeling for Energy Efficiency Applications
10.1016/B978-0-12-409548-9.10192-7,2017,Thermal Performance of Building Envelops,Encyclopedia of Sustainable Technologies
10.1016/B978-0-323-90386-8.00164-9,2017,Integration of Photovoltaics in Buildings,Encyclopedia of Sustainable Technologies
10.1016/B978-0-12-409548-9.10201-5,2017,Integration of Photovoltaics in Buildings,Encyclopedia of Sustainable Technologies
10.1016/B978-0-08-101128-7.00003-4,2017,Chapter 3: Phase Change Materials for Application in Energy-Efficient Buildings,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-409548-9.09660-3,2018,3.24: Constructing a Map of Physiological Equivalent Temperature by Spatial Analysis Techniques,Comprehensive Geographic Information Systems
10.1016/B978-0-08-101128-7.00016-2,2017,Chapter 16: Cost-Effective Energy Refurbishment of Prefabricated Buildings in Serbia,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-811318-9.00015-6,2017,Chapter 15: Hybrid Intelligent Model Based on Least Squares Support Vector Regression and Artificial Bee Colony Optimization for Time-Series Modeling and Forecasting Horizontal Displacement of Hydropower Dam,Handbook of Neural Computation
10.1016/B978-0-08-101123-2.00008-X,2017,Chapter 8: Chilled Beams and Radiant Ceiling Systems,Air Conditioning System Design
10.1016/B978-0-12-803021-9.00003-3,2017,3: Parasitic energy consumption for heating and cooling,Electric Vehicles: Prospects and Challenges
10.1016/B978-0-12-409548-9.10146-0,2017,Recent Developments in Liquid Desiccant-Based Cooling Systems,Encyclopedia of Sustainable Technologies
10.1016/B978-0-08-101128-7.00007-1,2017,Chapter 7: Measurement and Verification Models for Cost-Effective Energy-Efficient Retrofitting,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-811662-3.00006-2,2017,Chapter 6: Heat Distribution Systems in Buildings,Solar Heating and Cooling Systems
10.1016/B978-0-12-811758-3.00003-6,2017,Chapter 3: The Great Rebalancing: Rattling the Electricity Value Chain from Behind the Meter,Innovation and Disruption at the Grid's Edge
10.1016/B978-0-12-409548-9.09652-4,2018,2.09: GIS for Urban Energy Analysis,Comprehensive Geographic Information Systems
10.1016/B978-0-08-101128-7.00019-8,2017,Chapter 19: Cost-Effective Refurbishment of Italian Historic Buildings,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-811318-9.00032-6,2017,Chapter 32: A Comparative Study of Image Segmentation Algorithms and Descriptors for Building Detection,Handbook of Neural Computation
10.1016/B978-0-12-813970-7.00001-7,2017,Chapter One: High Thermal Resistance Versus High Thermal Capacity: The Dilemma,Thermal Inertia in Energy Efficient Building Envelopes
10.1016/B978-0-12-809951-3.00004-1,2017,Chapter Four: Simulation Tools and Optimization Algorithms for Efficient Energy Management in Neighborhoods,Energy Positive Neighborhoods and Smart Energy Districts
10.1016/B978-0-12-409548-9.10199-X,2017,Building Energy Management Systems,Encyclopedia of Sustainable Technologies
10.1016/B978-0-12-809393-1.00011-8,2017,Chapter 11: Smart Building Applications and Information System Hardware Co-Design,Big Data Analytics for Sensor-Network Collected Intelligence
10.1016/B978-0-12-811662-3.00007-4,2017,Chapter 7: Solar Thermal-Driven Cooling Systems,Solar Heating and Cooling Systems
10.1016/B978-0-12-809276-7.00012-6,2017,Chapter 10: Deep Learning for Scene-Independent Crowd Analysis,Group and Crowd Behavior for Computer Vision
10.1016/B978-0-12-803581-8.04148-5,2017,Prediction of Mechanical Properties of Stainless Steel Using an Artificial Neural Network Model,Reference Module in Materials Science and Materials Engineering
10.1016/B978-0-12-811662-3.00009-8,2017,Chapter 9: Solar-Assisted Heat Pumps,Solar Heating and Cooling Systems
10.1007/s13675-015-0053-8,2017,Formulations and exact algorithms for the distance-constrained generalized directed rural postman problem,EURO Journal on Computational Optimization
10.1016/B978-0-12-409548-9.10190-3,2017,Building Energy Efficiency in Cold Climates,Encyclopedia of Sustainable Technologies
10.1016/B978-0-12-813970-7.00006-6,2017,"Chapter Six: Experimental Methods, Analytic Explorations, and Model Reliability",Thermal Inertia in Energy Efficient Building Envelopes
10.1016/B978-0-323-90386-8.00165-0,2017,Adaptation of Buildings to Climate Change,Encyclopedia of Sustainable Technologies
10.1016/B978-0-12-409548-9.10355-0,2018,4.07: Soil Moisture Retrieval Algorithms: The SMOS Case,Comprehensive Remote Sensing
10.1016/B978-0-12-809592-8.00004-4,2017,"Chapter 4: Multi-Dimensional, Multi-Scale Modeling and Algorithms for Integrating Variable Energy Resources in Power Networks: Challenges and Opportunities",Renewable Energy Integration
10.1016/B978-0-12-809951-3.00003-X,2017,Chapter Three: Description of the Process Needed To Achieve EPN Roadmap,Energy Positive Neighborhoods and Smart Energy Districts
10.1016/B978-0-12-409548-9.10188-5,2017,"Life-Cycle Energy Assessment in Buildings: Framework, Approaches, and Case Studies",Encyclopedia of Sustainable Technologies
10.1016/B978-0-08-101128-7.00018-6,2017,Chapter 18: Cost-Effective Energy Retrofitting of Buildings in Spain: An Office Building of the University of the Basque Country,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-409548-9.09653-6,2018,2.19: Modeling Land-Use Change in Complex Urban Environments,Comprehensive Geographic Information Systems
10.1016/B978-0-12-803243-5.00001-7,2017,Building Local Biostratigraphic Models for the Upper Triassic of Western North America: Methods and Considerations,Terrestrial Depositional Systems
10.1016/B978-0-444-63918-9.00016-8,2017,Chapter 16: Complexity analysis of the ionizing and nonionizing radiation time series,Developments in Environmental Modelling
10.1007/s12205-016-0708-x,2017,Hybrid Coupled Building Control for similar adjacent buildings,KSCE Journal of Civil Engineering
10.1016/B978-0-08-102020-3.00052-8,2017,Chapter 52: Building Information Modelling (BIM),"Project Management, Planning and Control"
10.1016/B978-0-08-100516-3.00013-7,2017,13: Forecasting and nowcasting of DNI for concentrating solar thermal systems,Advances in Concentrating Solar Thermal Research and Technology
10.1007/s12205-016-0727-7,2017,Lessons learned from the Existing Building Energy Optimization workshop: An initiative for the analysis-driven retrofit decision making,KSCE Journal of Civil Engineering
10.1016/B978-0-12-810433-0.00009-5,2017,Chapter Nine: Impact of Energy and Atmosphere,Handbook of Green Building Design and Construction
10.1016/B978-0-12-810433-0.00010-1,2017,Chapter Ten: Green Design and Building Economics,Handbook of Green Building Design and Construction
10.1017/S1751731116001208,2017,A new approach for categorizing pig lying behaviour based on a Delaunay triangulation method,Animal
10.1016/B978-0-08-100959-8.00002-0,2017,2: Agro-industrial waste composites as components for rural buildings,Lignocellulosic Fibre and Biomass-Based Composite Materials
10.1016/B978-0-08-101128-7.00009-5,2017,Chapter 9: An Overview of the Challenges for Cost-Effective and Energy-Efficient Retrofits of the Existing Building Stock,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-809951-3.00008-9,2017,"Chapter Eight: Barriers, Challenges, and Recommendations Related to Development of Energy Positive Neighborhoods and Smart Energy Districts",Energy Positive Neighborhoods and Smart Energy Districts
10.1016/B978-0-08-101128-7.00032-0,2017,Index,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-08-100982-6.00008-2,2017,8: Modelling,Performance of Bio-based Building Materials
10.1016/B978-0-08-100909-3.00014-5,2017,14: Automotive applications of manikins,Manikins for Textile Evaluation
10.1016/B978-0-12-810433-0.00005-8,2017,Chapter Five: Building Information Modeling (BIM),Handbook of Green Building Design and Construction
10.1016/B978-0-08-101128-7.00010-1,2017,Chapter 10: Smart Heating Systems for Cost-Effective Retrofitting,Cost-Effective Energy Efficient Building Retrofitting
10.1017/S1751731116001737,2017,Validation of a multi-criteria evaluation model for animal welfare,Animal
10.1016/B978-0-08-101128-7.00004-6,2017,Chapter 4: Reflective Materials for Cost-Effective Energy-Efficient Retrofitting of Roofs,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-809859-2.00008-5,2017,Chapter 6: Scalable Processing of Massive Traffic Datasets,Smart Sensors Networks
10.1016/B978-0-12-811662-3.00004-9,2017,Chapter 4: Thermal Energy Storage,Solar Heating and Cooling Systems
10.1016/B978-0-12-409548-9.10193-9,2017,Behavior Change of Building Users and Energy Consumption,Encyclopedia of Sustainable Technologies
10.1016/B978-0-12-409548-9.10202-7,2017,Adaptation of Buildings to Climate Change,Encyclopedia of Sustainable Technologies
10.1016/B978-0-12-813970-7.00021-2,2017,Index,Thermal Inertia in Energy Efficient Building Envelopes
10.1016/B978-0-12-809764-9.00002-0,2017,Chapter 1: Ontologies and context modeling for the Web of Things,Managing the Web of Things
10.1007/s12205-016-0702-3,2017,A special Partial Least Squares (PLS) path decision modeling for bid evaluation of large construction projects,KSCE Journal of Civil Engineering
10.1016/B978-0-12-813970-7.00005-4,2017,Chapter Five: Passive Envelopes,Thermal Inertia in Energy Efficient Building Envelopes
10.1016/B978-0-12-804629-6.00006-7,2017,Chapter 6: Supervised Learning Based Detection of Malware on Android,Mobile Security and Privacy
10.1007/s12205-017-1691-6,2017,Modeling and simulating positional uncertainties in linear features in GIS,KSCE Journal of Civil Engineering
10.1016/B978-0-12-409548-9.10198-8,2017,Indoor Air Quality,Encyclopedia of Sustainable Technologies
10.1016/B978-0-08-101128-7.00012-5,2017,Chapter 12: Cost-Effectiveness of Retrofitting Swedish Buildings,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-409548-9.09633-0,2018,2.10: GIS in Climatology and Meteorology,Comprehensive Geographic Information Systems
10.1016/bs.aiep.2017.01.005,2017,Chapter Five: Component Identification and Interpretation: A Perspective on Tower of Knowledge,Advances in Imaging and Electron Physics
10.1016/B978-0-12-810433-0.00007-1,2017,Chapter Seven: Indoor Environmental Quality,Handbook of Green Building Design and Construction
10.1016/S2095-3119(16)61614-3,2017,Modeling the regional grazing impact on vegetation carbon sequestration ability in Temperate Eurasian Steppe,Journal of Integrative Agriculture
10.1016/B978-0-08-101128-7.00015-0,2017,Chapter 15: Cost-Effective Energy and Indoor Climate Renovation of Estonian Residential Buildings,Cost-Effective Energy Efficient Building Retrofitting
10.1007/s12205-017-0559-0,2017,A proposed procedure for progressive collapse analysis of common steel building structures to blast loading,KSCE Journal of Civil Engineering
10.1016/B978-0-08-100887-4.00013-5,2017,13: Pressure reconstruction during water impact through particle image velocimetry: Methodology overview and applications to lightweight structures,Dynamic Response and Failure of Composite Materials and Structures
10.1016/B978-0-08-101128-7.00011-3,2017,Chapter 11: Artificial Neural Networks for Predicting the Energy Behavior of a Building Category: A Powerful Tool for Cost-Optimal Analysis,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-409548-9.10336-7,2018,2.04: Geometric Processing: Active Sensor Modeling and Calibration (SAR),Comprehensive Remote Sensing
10.1016/S2095-3119(17)61762-3,2017,Recent progress and future prospect of digital soil mapping: A review,Journal of Integrative Agriculture
10.1016/B978-0-12-813246-3.00003-5,2017,3: 3D geological modeling of a fracture-vug carbonate reservoir,Development Theories and Methods of Fracture-Vug Carbonate Reservoirs
10.1016/B978-0-12-409548-9.10353-7,2018,4.03: Evapotranspiration,Comprehensive Remote Sensing
10.1111/pirs.12197,2017,The impact of wind farms on property values: A locally weighted hedonic pricing model,Papers in Regional Science
10.1016/B978-0-08-100982-6.00006-9,2017,6: Performance of buildings,Performance of Bio-based Building Materials
10.1007/s12205-016-0994-3,2017,Algorithmic development of life-cycle assessment: Application of urban water infrastructure systems in Iran,KSCE Journal of Civil Engineering
10.1016/B978-0-12-813970-7.00003-0,2017,Chapter Three: Retrofit of Existing Envelopes,Thermal Inertia in Energy Efficient Building Envelopes
10.1016/S2095-3119(16)61626-X,2017,Global sensitivity analysis of the AquaCrop model for winter wheat under different water treatments based on the extended Fourier amplitude sensitivity test,Journal of Integrative Agriculture
10.1016/B978-0-12-409548-9.10186-1,2017,Building as Major Energy Consumer,Encyclopedia of Sustainable Technologies
10.1016/B978-0-12-809592-8.00020-2,2017,Chapter 20: The Implications of Distributed Energy Resources on Traditional Utility Business Model,Renewable Energy Integration
10.1016/B978-0-08-101128-7.00013-7,2017,Chapter 13: Cost-Efficient Solutions for Finnish Buildings,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-804418-6.00008-X,2017,Chapter 8: mmWave massive MIMO channel modeling,mmWave Massive MIMO
10.3724/SP.J.1440.101004,2017,A Quad Model for Assessing Innovation Potential: Toward a Theory of Innovation Orchestration Quality,International Journal of Innovation Studies
10.1016/B978-0-444-63965-3.50225-7,2017,Stochastic Modeling Approach for Downstream Oil Supply Chain,Computer Aided Chemical Engineering
10.1016/B978-0-12-811662-3.05001-5,2017,Preface,Solar Heating and Cooling Systems
10.1016/B978-0-12-813970-7.00018-2,2017,Appendix B: Details on Numerical Methods,Thermal Inertia in Energy Efficient Building Envelopes
10.1016/B978-0-12-804418-6.00013-3,2017,"Chapter 13: mmWave cellular networks: Stochastic geometry modeling, analysis, and experimental validation",mmWave Massive MIMO
10.1016/B978-0-12-805343-0.00001-2,2017,Chapter 1: Introduction,Smart Energy Grid Engineering
10.1016/B978-0-444-59552-2.00008-0,2017,Chapter 8: Curing of Battery Plates,Lead-Acid Batteries: Science and Technology
10.1016/B978-0-12-804524-4.00003-8,2017,Chapter 3: Assessment of CO<ce:inf loc=post>2</ce:inf> Emissions Reduction in High-Rise Concrete Office Buildings Using Different Material-Use Options,Handbook of Low Carbon Concrete
10.1016/B978-0-444-63965-3.50372-X,2017,A Consistent Methodology Based Parameter Estimation for a Lactic Acid Bacteria Fermentation Model,Computer Aided Chemical Engineering
10.1016/B978-0-12-811662-3.00001-3,2017,Chapter 1: Introduction,Solar Heating and Cooling Systems
10.1016/B978-0-08-101128-7.00008-3,2017,Chapter 8: A Cost-Effective Human-Based Energy-Retrofitting Approach,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-813970-7.00004-2,2017,Chapter Four: New Envelopes,Thermal Inertia in Energy Efficient Building Envelopes
10.1016/B978-0-12-802459-1.00002-6,2017,Chapter 2: Reliable and power-aware architectures: Fundamentals and modeling,Rugged Embedded Systems
10.1016/B978-0-12-805321-8.00009-4,2017,9: Big Data and Monitoring the Grid,The Power Grid
10.1007/s12205-016-0088-2,2017,Ammonia and carbon dioxide emissions from a laying hen house under summer conditions in Bursa region of Turkey,KSCE Journal of Civil Engineering
10.1007/s12205-017-1772-6,2017,Plasticity constitutive modeling of partially confined concrete with steel jacketing,KSCE Journal of Civil Engineering
10.1016/B978-0-12-809951-3.00005-3,2017,Chapter Five: Information and Communication Technology for EPN,Energy Positive Neighborhoods and Smart Energy Districts
10.1016/B978-0-12-409548-9.09676-7,2018,3.20: The Study of the Effects of Built Form on Pedestrian Activities: A GIS-Based Integrated Approach,Comprehensive Geographic Information Systems
10.1016/S0378-7788(16)31860-6,2017,Editorial Board,Energy and Buildings
10.1016/B978-0-12-803350-0.00008-8,2017,Chapter 8: Basin Modeling,Practical Petroleum Geochemistry for Exploration and Production
10.1016/B978-1-78548-268-7.50008-0,2017,8: Hydrodynamic Modeling to Characterize Floods and Predict Their Impacts,Floods
10.1016/B978-0-12-809951-3.00007-7,2017,Chapter Seven: Real Life Experience—Demonstration Sites,Energy Positive Neighborhoods and Smart Energy Districts
10.1016/B978-0-08-100982-6.00007-0,2017,7: Test methods for bio-based building materials,Performance of Bio-based Building Materials
10.1016/B978-0-12-809266-8.00003-X,2017,Chapter 3: Vehicular network (VN) model,Intelligent Vehicular Networks and Communications
10.1016/B978-0-08-100877-5.00014-1,2017,Chapter 12: Dynamical Systems,Essential MATLAB for Engineers and Scientists
10.1016/B978-0-12-809393-1.00012-X,2017,Chapter 12: Smart Sensor Networks for Building Safety,Big Data Analytics for Sensor-Network Collected Intelligence
10.1016/B978-0-444-63918-9.00020-X,2017,Chapter 20: Chaos in modelling the global climate system,Developments in Environmental Modelling
10.1016/B978-0-12-805195-5.00009-0,2017,Chapter 9: Developing Embedded Platforms for Ambient Assisted Living,Ambient Assisted Living and Enhanced Living Environments
10.1016/B978-0-12-810433-0.00002-2,2017,Chapter Two: Components of Sustainable Design and Construction,Handbook of Green Building Design and Construction
10.1016/B978-0-12-810433-0.00011-3,2017,Chapter Eleven: Green Project Commissioning,Handbook of Green Building Design and Construction
10.1016/B978-0-08-100154-7.00001-6,2017,1: Modeling of drug product manufacturing processes in the pharmaceutical industry,Predictive Modeling of Pharmaceutical Unit Operations
10.1016/S1876-3804(17)30018-6,2017,Solution mining technology of enlarging space for thick-sandwich salt cavern storage,Petroleum Exploration and Development
10.1007/s12205-016-1096-y,2017,Evaluation of global and regional geoid models in South Korea by using terrestrial and GNSS data,KSCE Journal of Civil Engineering
10.1016/B978-0-12-803581-8.10132-8,2017,Optimization of Electrical Energy Usage in Two Secondary Schools Using Different Types of Glass Materials,Encyclopedia of Renewable and Sustainable Materials
10.1016/B978-0-12-409548-9.10194-0,2017,Buildings Life Cycle Assessment,Encyclopedia of Sustainable Technologies
10.1016/B978-0-12-805343-0.00013-9,2017,Chapter 13: Applications of energy semantic networks,Smart Energy Grid Engineering
10.1016/B978-0-12-802104-0.00032-9,2017,Chapter 32: Nanotechnology: Building and Observing at the Nanometer Scale,Pharmacognosy
10.1016/bs.agron.2017.05.005,2017,Chapter One: Facility Cultivation Systems “设施农业”: A Chinese Model for the Planet,Advances in Agronomy
10.1016/B978-0-12-811758-3.00015-2,2017,Chapter 15: The Transformation of the German Electricity Sector and the Emergence of New Business Models in Distributed Energy Systems,Innovation and Disruption at the Grid's Edge
10.3168/jds.2016-12237,2017,"<ce:italic>Short communication:</ce:italic> Associations between blood glucose concentration, onset of hyperketonemia, and milk production in early lactation dairy cows",Journal of Dairy Science
10.1016/B978-0-08-100707-5.00013-7,2017,13: Thurgoona Campus: A living laboratory of healthy and sustainable materials,"Materials for a Healthy, Ecological and Sustainable Built Environment"
10.1016/S1001-6058(16)60714-X,2017,Assessment of the predictive capability of RANS models in simulating meandering open channel flows,"Journal of Hydrodynamics, Ser. B"
10.1111/pirs.12186,2017,The puzzling heterogeneity of amenity capitalization effects on land markets,Papers in Regional Science
10.1016/B978-0-12-809254-5.00009-9,2017,Chapter 9: Ocean Applications,Introduction to Satellite Remote Sensing
10.1016/B978-0-323-90813-9.00003-5,2017,Chapter 3: Traffic and Transportation Analysis Techniques,Transportation Engineering
10.1016/B978-0-08-100025-0.00003-X,2017,Chapter 3: Hydrology and Surface Supplies,Twort's Water Supply
10.1016/B978-0-08-100447-0.00002-X,2017,2: Principles of CSP performance assessment,The Performance of Concentrated Solar Power (CSP) Systems
10.1016/B978-0-08-100982-6.00001-X,2017,1: Introduction to the performance of bio-based building materials,Performance of Bio-based Building Materials
10.1016/B978-0-12-812674-5.00001-8,2017,Chapter One: Equipment in Well Control Operations,Blowout and Well Control Handbook
10.1016/B978-0-12-805200-6.00006-2,2017,Chapter 6: Soil Mapping and Processes Models for Sustainable Land Management Applied to Modern Challenges,Soil Mapping and Process Modeling for Sustainable Land Use Management
10.1016/B978-0-08-100909-3.00015-7,2017,15: Thermo-physiological simulation,Manikins for Textile Evaluation
10.1016/B978-0-12-803818-5.00003-2,2017,Chapter 3: Traffic and Transportation Analysis Techniques,Transportation Engineering
10.1016/B978-0-12-409548-9.09757-8,2018,3.22: Smarter Than Smart Cities: GIS and Spatial Analysis for Socio-Economic Applications That Recover Humanistic Media and Visualization,Comprehensive Geographic Information Systems
10.1016/S0378-7788(17)30443-7,2017,Editorial Board,Energy and Buildings
10.1016/B978-0-12-811758-3.00011-5,2017,Chapter 11: We Don’t Need a New Business Model: “It Ain’t Broke and It Don’t Need Fixin”,Innovation and Disruption at the Grid's Edge
10.1007/s12205-017-1359-2,2017,Numerical model for shaley rock masses displaying long-term time dependent deformation (TDD) behavior and its application to a pedestrian tunnel constructed under Lake Ontario,KSCE Journal of Civil Engineering
10.1007/s12205-016-1155-4,2017,Non-working day estimation in high-rise building construction with wind load data by radiosonde and weibull distribution,KSCE Journal of Civil Engineering
10.1016/B978-0-12-811662-3.00003-7,2017,Chapter 3: Solar Collectors,Solar Heating and Cooling Systems
10.1016/B978-0-08-101128-7.00005-8,2017,Chapter 5: Solar Air Collectors for Cost-Effective Energy-Efficient Retrofitting,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-809324-5.00351-5,2017,Mammalian Parental Behavior: Neurohormonal and Sensory Determinants,"Encyclopedia of Behavioral Neuroscience, 2nd edition"
10.1016/B978-0-12-409548-9.09682-2,2018,3.02: Estimating Supply Elasticities for Residential Real Estate in the United Kingdom,Comprehensive Geographic Information Systems
10.1016/B978-0-08-101753-1.00008-5,2017,Chapter 8: Towards a Concept of Cooperating Power Network for Energy Management and Control of Microgrids,Microgrid
10.1016/S0378-7788(17)33544-2,2017,Editorial Board,Energy and Buildings
10.1016/B978-0-08-101128-7.00014-9,2017,Chapter 14: Cost-Effective District-Level Renovation: A Russian Case Study,Cost-Effective Energy Efficient Building Retrofitting
10.1016/B978-0-12-809266-8.00004-1,2017,Chapter 4: Evaluation of vehicular network models,Intelligent Vehicular Networks and Communications
10.1016/B978-0-12-813970-7.00002-9,2017,Chapter Two: The Envelope: A Complex and Dynamic Problem,Thermal Inertia in Energy Efficient Building Envelopes
10.1016/B978-0-08-100504-0.00008-1,2017,8: Forecasting intrahourly variability of wind generation,Renewable Energy Forecasting
10.1016/B978-0-12-809951-3.00002-8,2017,Chapter Two: Energy Positivity and Flexibility in Districts,Energy Positive Neighborhoods and Smart Energy Districts
10.1016/B978-0-08-100025-0.00001-6,2017,Chapter 1: The Demand for Potable Water,Twort's Water Supply
10.1007/s12205-016-0929-z,2017,A study on scan data matching for reverse engineering of pipes in plant construction,KSCE Journal of Civil Engineering
10.1016/B978-0-12-409548-9.10335-5,2018,2.03: Geometric Processing: Active Sensor Modeling and Calibration (LiDAR),Comprehensive Remote Sensing
10.1016/B978-0-08-100707-5.00011-3,2017,11: Palm thatched building in Mexico,"Materials for a Healthy, Ecological and Sustainable Built Environment"
10.1016/B978-0-12-805343-0.00007-3,2017,Chapter 7: High-performance large microgrid,Smart Energy Grid Engineering
10.1016/B978-1-78548-039-3.50004-3,2017,4: Greening and Innovating with Renewable Energies,Intelligence in Energy
10.1016/B978-0-08-101225-3.00004-9,2017,"3: Structural engineering principles in coal mine ground control—the common link between empirical models, numerical models, and practical solutions",Advances in Coal Mine Ground Control
10.1016/B978-0-08-100642-9.00014-1,2017,14: Performance assessment modeling for a disposal facility in a semi-arid environment,Geological Repository Systems for Safe Disposal of Spent Nuclear Fuels and Radioactive Waste
10.1016/B978-0-12-805200-6.00002-5,2017,Chapter 2: Soil Mapping and Processes Modeling for Sustainable Land Management,Soil Mapping and Process Modeling for Sustainable Land Use Management
